/* DATA DESCRIPTION:
Citation:	Naafs, Bernhard David A; Hefter, Jens; Acton, Gary D; Haug, Gerald H; Martinez-Garcia, Alfredo; Pancost, Richard D; Stein, Ruediger (2012): Concentrations and accumulation rates of biomarkers and SSTs at IODP Site 306-U1313. PANGAEA, https://doi.org/10.1594/PANGAEA.757946, 
	In supplement to: Naafs, BDA et al. (2012): Strengthening of North American dust sources during the late Pliocene (2.7 Ma). Earth and Planetary Science Letters, 317-318, 8-19, https://doi.org/10.1016/j.epsl.2011.11.026
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 41.000000 * LONGITUDE: -32.957300
	DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 144.82 m
Event(s):	306-U1313 * LATITUDE: 41.000000 * LONGITUDE: -32.957300 * DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00 * ELEVATION: -3426.0 m * CAMPAIGN: Exp306 (North Atlantic Climate 2) (URI: https://doi.org/10.2204/iodp.proc.303306.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment (m) is given in mbsf.
Parameter(s):	Sample code/label (Sample label) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sample code/label 2 (Sample label 2) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: A/W referes to work or archive half
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * GEOCODE
	Sedimentation rate [cm/ka] (Sed rate) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Calculated
	n-Alkane, non reworked [ng/g] (n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, n-Alkane, non-reworked [ng/cm**2/ka] (Acc rate n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	C26-alkan-1-ol [ng/g] (C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, C26-alkan-1-ol [ng/cm**2/ka] (Acc rate C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	21096 data points
*/
Sample label	Sample label 2	Depth [m]	Depth comp [mcd]	Depth adj mcd [amcd]	Age [ka BP]	Sed rate [cm/ka]	n-Alkane non-rew [ng/g]	Acc rate n-Alkane non-rew [ng/cm**2/ka]	C26-alkan-1-ol [ng/g]	Acc rate C26-alkan-1-ol [ng/cm**2/ka]	SST (1-12) [°C]
50018944	306-U1313B-1H-1A,0-2	0.00	0.17	0.17	0.00	6.25	80.71				18.17
50018948	306-U1313B-1H-1A,8-10	0.08	0.25	0.25	6.91	6.25	50.18	249.32	11.03	54.81	19.00
50018953	306-U1313B-1H-1A,18-20	0.18	0.35	0.35	8.51	6.25	46.00	228.35			18.60
50018962	306-U1313B-1H-1A,36-38	0.36	0.53	0.53	11.39	6.25	82.42	357.22			16.37
50018967	306-U1313B-1H-1A,46-48	0.46	0.63	0.63	12.99	6.25	53.41	274.66			
50018969	306-U1313B-1H-1A,50-52	0.50	0.67	0.67	13.63	6.25	162.31	815.69			15.37
50018971	306-U1313B-1H-1A,54-56	0.54	0.71	0.71	14.27	6.25	90.02	357.61			
50018975	306-U1313B-1H-1A,62-64	0.62	0.79	0.79	15.55	6.25	159.59	575.01	56.99	205.33	
50018977	306-U1313B-1H-1A,66-68	0.66	0.83	0.83	16.19	6.25	158.03	561.26			13.00
50018979	306-U1313B-1H-1A,70-72	0.70	0.87	0.87	16.83	6.25	105.75	344.44			
50018981	306-U1313B-1H-1A,74-76	0.74	0.91	0.91	17.47	6.25	249.96	722.81	129.01	373.05	12.28
50018985	306-U1313B-1H-1A,82-84	0.82	0.99	0.99	18.75	6.25	205.33	565.34			
50018988	306-U1313B-1H-1A,88-90	0.88	1.05	1.05	19.71	6.25	239.01	625.48	105.81	276.90	11.21
50018991	306-U1313B-1H-1A,94-96	0.94	1.11	1.11	20.67	6.25	260.39	628.44			
50018995	306-U1313B-1H-1A,102-104	1.02	1.19	1.19	21.95	6.25	244.62	687.05	162.98	457.76	13.60
50018998	306-U1313B-1H-1A,108-110	1.08	1.25	1.25	22.91	6.25	234.07	683.78			
50019001	306-U1313B-1H-1A,114-116	1.14	1.31	1.31	23.87	6.25	324.33	1067.30			
50019002	306-U1313B-1H-1A,116-118	1.16	1.33	1.33	24.19	6.25	310.26	974.40			
50019003	306-U1313B-1H-1A,118-120	1.18	1.35	1.35	24.51	6.25	333.29	945.33			
50019006	306-U1313B-1H-1A,124-126	1.24	1.41	1.41	25.47	6.25	323.83	883.94	203.19	554.64	12.30
50019008	306-U1313B-1H-1A,128-130	1.28	1.45	1.45	26.11	6.25	158.71	358.58			
50019010	306-U1313B-1H-1A,132-134	1.32	1.49	1.49	26.75	6.25	448.16	1069.23	146.06	348.47	12.30
50019015	306-U1313B-1H-1A,142-144	1.42	1.59	1.59	28.35	6.25	275.69	765.07			11.81
50019020	306-U1313B-1H-2A,2-4	1.52	1.69	1.69	29.95	6.25	343.16	1059.78	291.69	900.82	
50019025	306-U1313B-1H-2A,12-14	1.62	1.79	1.79	31.55	6.25	458.04	1608.70			12.91
50019027	306-U1313B-1H-2A,16-18	1.66	1.83	1.83	32.19	6.25	273.60	984.15			12.84
50019029	306-U1313B-1H-2A,20-22	1.70	1.87	1.87	32.83	6.25	451.25	1888.87			
50019030	306-U1313B-1H-2A,22-24	1.72	1.89	1.89	33.15	6.25	167.45	655.95			
50019032	306-U1313B-1H-2A,26-28	1.76	1.93	1.93	33.79	6.25	301.77	1174.91			14.02
50019034	306-U1313B-1H-2A,30-32	1.80	1.97	1.97	34.43	6.25	402.30	1616.41	260.23	1045.58	
50019037	306-U1313B-1H-2A,36-38	1.86	2.03	2.03	35.39	6.25	267.19	1167.02			
50019041	306-U1313B-1H-2A,44-46	1.94	2.11	2.11	36.67	6.25	262.76	1162.18			13.62
50019046	306-U1313B-1H-2A,54-56	2.04	2.21	2.21	38.27	6.25	216.58	1094.45			15.04
50019047	306-U1313B-1H-2A,56-58	2.06	2.23	2.23	38.59	6.25	127.20	634.74			
50019048	306-U1313B-1H-2A,58-60	2.08	2.25	2.25	38.91	6.25	163.26	776.93			15.60
50019052	306-U1313B-1H-2A,66-68	2.16	2.33	2.33	40.19	6.25	195.38	823.24	103.12	434.52	
50019057	306-U1313B-1H-2A,76-78	2.26	2.43	2.43	41.79	6.25	193.28	790.34			15.67
50019063	306-U1313B-1H-2A,88-90	2.38	2.55	2.55	43.71	6.25	84.29	391.65			15.40
50019069	306-U1313B-1H-2A,100-102	2.50	2.67	2.67	45.63	6.25	185.29	830.51	33.80	151.49	15.87
50019070	306-U1313B-1H-2A,102-104	2.52	2.69	2.69	45.95	6.25	155.57	698.55			
50019071	306-U1313B-1H-2A,104-106	2.54	2.71	2.71	46.27	6.25	189.08	878.51			14.81
50019072	306-U1313B-1H-2A,106-108	2.56	2.73	2.73	46.59	6.25	125.59	591.00			15.53
50019073	306-U1313B-1H-2A,108-110	2.58	2.75	2.75	46.91	6.25	106.14	486.21			
50019074	306-U1313B-1H-2A,110-112	2.60	2.77	2.77	47.23	6.25	100.40	436.13			15.80
50019075	306-U1313B-1H-2A,112-114	2.62	2.79	2.79	47.55	6.25	60.58	267.01			
50019076	306-U1313B-1H-2A,114-116	2.64	2.81	2.81	47.87	6.25	106.74	443.63	58.56	243.38	
50019078	306-U1313B-1H-2A,118-120	2.68	2.85	2.85	48.51	6.25	74.94	261.13			16.13
50019081	306-U1313B-1H-2A,124-126	2.74	2.91	2.91	49.47	6.25	132.80	518.62	29.85	116.57	14.99
50019086	306-U1313B-1H-2A,134-136	2.84	3.01	3.01	51.06	6.25	106.46	480.56			16.45
50019090	306-U1313B-1H-2A,142-144	2.92	3.09	3.09	52.34	6.25	106.21	504.61			16.34
50019138	306-U1313B-1H-3A,2-4	3.02	3.19	3.19	53.94	6.25	211.17	1030.82			16.00
50019142	306-U1313B-1H-3A,10-12	3.10	3.27	3.27	55.22	6.25	154.20	704.89	98.90	452.10	16.14
50019146	306-U1313B-1H-3A,18-20	3.18	3.35	3.35	56.58	5.86	180.07	758.68			15.23
50019147	306-U1313B-1H-3A,20-22	3.20	3.37	3.37	56.92	5.86	171.89	719.11			
50019148	306-U1313B-1H-3A,22-24	3.22	3.39	3.39	57.26	5.86	228.90	938.97			15.56
50019149	306-U1313B-1H-3A,24-26	3.24	3.41	3.41	57.61	5.86	184.21	771.34			
50019151	306-U1313B-1H-3A,28-30	3.28	3.45	3.45	58.29	5.86	97.09	410.31			13.35
50019152	306-U1313B-1H-3A,30-32	3.30	3.47	3.47	58.63	5.86	133.04	446.93			
50019153	306-U1313B-1H-3A,32-34	3.32	3.49	3.49	58.97	5.86	262.77	948.93			
50019154	306-U1313B-1H-3A,34-36	3.34	3.51	3.51	59.31	5.86	210.47	783.85	106.47	396.52	12.83
50019155	306-U1313B-1H-3A,36-38	3.36	3.53	3.53	59.65	5.86	215.77	790.77			
50019156	306-U1313B-1H-3A,38-40	3.38	3.55	3.55	59.99	5.86	234.48	823.31			
50019157	306-U1313B-1H-3A,40-42	3.40	3.57	3.57	60.34	5.86	242.58	837.37			13.34
50019158	306-U1313B-1H-3A,42-44	3.42	3.59	3.59	60.68	5.86	246.76	881.04			
50019159	306-U1313B-1H-3A,44-46	3.44	3.61	3.61	61.02	5.86	238.01	831.73			11.99
50019160	306-U1313B-1H-3A,46-48	3.46	3.63	3.63	61.36	5.86	241.56	811.04			
50019161	306-U1313B-1H-3A,48-50	3.48	3.65	3.65	61.70	5.86	249.32	812.12			
50019162	306-U1313B-1H-3A,50-52	3.50	3.67	3.67	62.04	5.86	206.73	673.39			11.89
50019164	306-U1313B-1H-3A,54-56	3.54	3.71	3.71	62.72	5.86	189.86	583.63			
50019168	306-U1313B-1H-3A,62-64	3.62	3.79	3.79	64.09	5.86	146.01	484.82	130.53	433.40	12.72
50019173	306-U1313B-1H-3A,72-74	3.72	3.89	3.89	65.80	5.86	151.87	605.00	86.85	345.99	14.51
50019178	306-U1313B-1H-3A,82-84	3.82	3.99	3.99	67.63	4.69	166.85	584.38			15.65
50019183	306-U1313B-1H-3A,92-94	3.92	4.09	4.09	69.77	4.69	140.22	459.74			16.21
50019185	306-U1313B-1H-3A,96-98	3.96	4.13	4.13	70.62	4.69	129.00	437.28	73.91	250.55	14.75
50019190	306-U1313B-1H-3A,106-108	4.06	4.23	4.23	72.75	4.69	47.77	171.97			15.60
50019194	306-U1313B-1H-3A,114-116	4.14	4.31	4.31	74.46	4.69	45.39	164.41	25.68	93.03	16.96
50020964	306-U1313C-2H-1A,126-128	3.96	4.39	4.33	74.88	4.69	58.33	211.56			
50019196	306-U1313B-1H-3A,118-120	4.18	4.35	4.35	75.31	4.69	52.34	186.10			16.36
50019199	306-U1313B-1H-3A,124-126	4.24	4.41	4.41	76.59	4.69	37.60	134.19			16.22
50019201	306-U1313B-1H-3A,128-130	4.28	4.45	4.45	77.44	4.61	48.02	175.87			
50020970	306-U1313C-2H-1A,138-140	4.08	4.51	4.45	77.44	4.61	49.61	185.54			
50020971	306-U1313C-2H-1A,140-142	4.10	4.53	4.47	77.87	4.26	58.95	199.88			
50020972	306-U1313C-2H-1A,142-144	4.12	4.55	4.49	78.30	3.96	33.19	108.27			16.46
50019204	306-U1313B-1H-3A,134-136	4.34	4.51	4.51	78.75	4.63	58.03	213.46			
50019205	306-U1313B-1H-3A,136-138	4.36	4.53	4.53	79.28	4.36	61.38	212.98			
50020975	306-U1313C-2H-1A,148-150	4.18	4.61	4.55	79.81	3.75	44.94	133.91			17.59
50021053	306-U1313C-2H-2A,4-6	4.24	4.67	4.61	81.41	3.75	106.39	324.58	41.96	128.03	15.64
50021057	306-U1313C-2H-2A,12-14	4.32	4.75	4.70	83.81	3.75	37.11	110.98			16.83
50021062	306-U1313C-2H-2A,22-24	4.42	4.85	4.82	87.01	3.75	27.98	88.39			17.81
50021067	306-U1313C-2H-2A,32-34	4.52	4.95	4.93	89.94	3.75	34.88	103.78			15.65
50021072	306-U1313C-2H-2A,42-44	4.62	5.05	5.05	93.14	3.75	25.93	81.24			17.63
50021077	306-U1313C-2H-2A,52-54	4.72	5.15	5.16	96.08	3.75	120.86	380.48	31.05	97.74	19.89
50021082	306-U1313C-2H-2A,62-64	4.82	5.25	5.28	99.28	3.75	40.02	129.37			18.01
50021087	306-U1313C-2H-2A,72-74	4.92	5.35	5.40	102.48	3.75	37.56	131.65			15.96
50021092	306-U1313C-2H-2A,82-84	5.02	5.45	5.50	105.14	3.75	36.05	121.23			17.11
50021093	306-U1313C-2H-2A,84-86	5.04	5.47	5.52	105.68	3.75	55.55	170.39			
50021094	306-U1313C-2H-2A,86-88	5.06	5.49	5.54	106.21	3.75	118.77	347.42			14.89
50021095	306-U1313C-2H-2A,88-90	5.08	5.51	5.56	106.74	3.75	88.94	268.40			
50021096	306-U1313C-2H-2A,90-92	5.10	5.53	5.58	107.28	3.75	75.23	231.30			
50021097	306-U1313C-2H-2A,92-94	5.12	5.55	5.60	107.81	3.75	107.82	335.60			16.04
50021098	306-U1313C-2H-2A,94-96	5.14	5.57	5.62	108.34	3.75	59.29	177.93	39.32	118.01	
50021099	306-U1313C-2H-2A,96-98	5.16	5.59	5.64	108.88	3.75	100.42	294.71			16.52
50021100	306-U1313C-2H-2A,98-100	5.18	5.61	5.66	109.41	3.75	107.20	317.27			
50021101	306-U1313C-2H-2A,100-102	5.20	5.63	5.67	109.67	3.75	103.78	308.63	44.41	132.06	
50021102	306-U1313C-2H-2A,102-104	5.22	5.65	5.69	110.21	3.75	117.89	336.61			16.34
50021103	306-U1313C-2H-2A,104-106	5.24	5.67	5.71	110.74	3.75	163.78	479.10			
50021104	306-U1313C-2H-2A,106-108	5.26	5.69	5.73	111.27	3.75	115.13	336.51	66.79	195.22	
50021105	306-U1313C-2H-2A,108-110	5.28	5.71	5.75	111.81	3.75	100.83	284.80			16.51
50021106	306-U1313C-2H-2A,110-112	5.30	5.73	5.77	112.34	3.75	114.67	326.06			
50021107	306-U1313C-2H-2A,112-114	5.32	5.75	5.79	112.87	3.75	60.45	164.72			15.87
50021108	306-U1313C-2H-2A,114-116	5.34	5.77	5.82	113.67	3.75	54.34	149.36			
