ODP846 Alkenone SST 
Depth            Age        SST 
0.16           5.550         23
0.26           8.135       23.1
0.36          10.720       23.2
0.46          13.305         22
0.56          15.890       21.7
0.66          18.475       21.4
0.76          20.617       21.7
0.86          22.168       21.3
0.96          23.719       21.2
0.97          23.874       21.2
1.06          25.270       20.6
1.16          26.821       20.5
1.26          28.372       20.7
1.36          29.923       20.6
1.46          31.474       20.9
1.56          33.025       21.4
1.66          34.576       21.2
1.76          36.373       21.2
1.86          38.441       21.4
1.96          40.509       21.5
2.06          42.577       21.6
2.16          44.645       21.6
2.26          46.713       21.6
2.36          48.781       21.9
2.46          50.849       22.2
2.56          52.917       22.1
2.66          54.985       22.2
2.76          56.783       22.6
2.86          58.334       22.5
2.96          59.885       22.4
3.06          61.436         22
3.16          62.987       22.2
3.26          64.538         22
3.36          66.089       22.2
3.37          66.244       22.1
3.46          67.640       22.1
3.56          69.191       22.3
3.66          70.742       22.5
3.76          73.375       22.4
3.86          76.822       22.8
3.97          80.613       23.3
4.08          84.405         23
4.18          87.851         23
4.26          90.609       22.9
4.31          92.418       22.9
4.36          94.572       22.9
4.41          96.726       23.2
4.46          98.880       23.1
4.53         101.896       22.9
4.65         107.066       22.3
4.66         107.497       22.3
4.77         112.236       22.8
4.88         116.975       22.5
5            119.842       22.9
5.1          121.910       23.8
5.2          123.978       23.7
5.3          126.046       25.1
5.4          128.114       24.7
5.5          130.182       23.5
5.6          132.250       23.5
5.7          134.318       22.1
5.8          136.386       22.1
5.9          138.493       22.6
5.91         138.752       22.6
6            141.078       22.3
6.11         143.922       22.3
6.21         146.507       22.4
6.31         149.092       22.3
6.41         151.677         22
6.51         154.262         22
6.61         156.847       21.8
6.7          159.173       21.7
6.8          161.759       21.7
6.89         164.085         22
6.98         166.412       22.7
7.07         168.738       22.7
7.08         168.997       22.7
7.16         171.065       22.3
7.25         173.391       22.1
7.34         175.718       22.4
7.43         178.044       22.6
7.51         180.112       22.8
7.6          182.439       23.3
7.69         184.818       23.3
7.77         187.576       23.2
7.86         190.678       23.3
7.93         193.090       23.9
8.01         195.848       23.2
8.08         198.260       22.8
8.09         198.605       22.8
8.16         201.018       22.7
8.24         203.775       22.1
8.32         206.449       22.8
8.4          209.034       22.9
8.48         211.619       23.7
8.57         214.527       23.8
8.66         217.435       22.7
8.75         220.343       22.8
8.85         223.574       22.5
8.96         227.128       23.4
9.06         230.360       23.3
9.07         230.683       23.3
9.17         233.315       23.1
9.27         235.900         24
9.38         238.743       23.1
9.47         241.070       22.7
9.56         243.396         23
9.66         245.982         22
9.76         248.567       22.4
9.85         250.893       23.1
9.94         253.220       23.5
10.04        255.805       23.8
