Correct.proxy.depth.cm;Age;Mg.Ca;SST;
0;305;4.267;26.9;
6.5;465;4.108;26.5;
10;551;4.109;26.5;
16.5;711;4.301;27.0;
20;797;4.220;26.7;
26;945;4.244;26.8;
30;1037;4.290;26.9;
36.5;1187;4.145;26.5;
40;1268;4.131;26.5;
45;1383;4.204;26.7;
50;1528;4.259;26.9;
55;1673;4.273;26.9;
60;1818;4.487;27.4;
65;1963;4.383;27.2;
70;2108;3.966;26.1;
75;2257;4.237;26.8;
80;2451;4.085;26.4;
85;2644;4.218;26.7;
90;2837;4.170;26.6;
95;3030;4.279;26.9;
100;3223;4.334;27.0;
105;3446;4.081;26.4;
110;3787;3.966;26.1;
115;4127;4.031;26.2;
120;4468;4.066;26.3;
125;4635;4.240;26.8;
130;4801;4.071;26.3;
135;4968;4.313;27.0;
140;5135;4.108;26.4;
145;5321;3.959;26.0;
150;5587;4.109;26.5;
154;5800;4.043;26.3;
160;6119;3.927;25.9;
165;6385;4.261;26.9;
195;6868;4.362;27.1;
200;7109;4.431;27.3;
205;7350;4.437;27.3;
210;7592;4.076;26.4;
215;7838;4.615;27.7;
220;8126;4.372;27.1;
225;8432;4.361;27.1;
230;8720;4.236;26.8;
235;8909;4.197;26.7;
240;9101;4.309;27.0;
245;9294;4.029;26.2;
256;9684;4.414;27.2;
260;9805;4.591;27.7;
265;9956;4.579;27.7;
270;10057;4.222;26.8;
275;10141;4.184;26.7;
280;10226;4.111;26.5;
285;10311;4.219;26.7;
290;10396;4.011;26.2;
297;10537;4.363;27.1;
300;10610;4.103;26.4;
305;10731;4.450;27.3;
312;10897;4.201;26.7;
316;10991;4.327;27.0;
320;11085;3.867;25.8;
325;11202;3.877;25.8;
330;11320;4.444;27.3;
336;11391;4.638;27.8;
340;11424;3.903;25.9;
345;11466;4.022;26.2;
350;11508;3.666;25.2;
355;11550;3.875;25.8;
360;11613;3.393;24.3;
365;11679;3.477;24.6;
370;11745;3.305;24.0;
375;11801;3.615;25.0;
380;11841;3.219;23.7;
385;11881;3.181;23.6;
390;11921;3.490;24.6;
395;11961;3.306;24.0;
400;12001;3.376;24.3;
406;12049;3.608;25.0;
410;12081;3.121;23.4;
415;12121;3.537;24.8;
420;12161;3.317;24.1;
425;12201;3.339;24.1;
430;12241;3.502;24.7;
435;12281;3.409;24.4;
445;12361;3.002;23.0;
450;12401;3.002;23.0;
455;12441;3.139;23.5;
460;12481;2.868;22.5;
466.5;12533;3.327;24.1;
470;12561;3.252;23.9;
475;12600;3.145;23.5;
480;12640;2.961;22.8;
485;12680;3.099;23.3;
490;12720;3.141;23.5;
495;12760;3.266;23.9;
500;12800;3.331;24.1;
505;12848;4.077;26.4;
510;12900;3.950;26.0;
515;12953;4.460;27.4;
525;13063;4.406;27.2;
530;13120;3.935;26.0;
535;13176;4.887;28.4;
540;13233;3.955;26.0;
545;13290;4.572;27.6;
550;13347;4.343;27.1;
560;13712;4.576;27.6;
565;13786;4.470;27.4;
570;13860;4.419;27.3;
580;13992;3.559;24.9;
585;14035;4.528;27.5;
590;14077;3.925;25.9;
595;14120;4.537;27.6;
600;14166;4.126;26.5;
605;14263;4.604;27.7;
610;14361;4.234;26.8;
615;14458;4.550;27.6;
620;14555;4.221;26.8;
630;14740;3.578;24.9;
640;14894;3.432;24.5;
645;14971;3.396;24.3;
650;15048;3.422;24.4;
655;15125;3.437;24.5;
660;15202;3.779;25.5;
665;15279;3.307;24.0;
670;15356;3.348;24.2;
675;15433;3.443;24.5;
680;15510;3.386;24.3;
685;15587;3.276;23.9;
690;15664;3.424;24.4;
695;15741;3.432;24.5;
700;15818;3.494;24.7;
705;15895;3.797;25.6;
710;15972;3.594;25.0;
715;16049;3.545;24.8;
720;16126;3.434;24.5;
730;16307;3.767;25.5;
735;16404;3.530;24.8;
740;16502;3.989;26.1;
745;16600;3.721;25.3;
750;16697;3.683;25.2;
755.5;16805;3.449;24.5;
760;16893;3.406;24.4;
765;16990;3.543;24.8;
770;17088;3.391;24.3;
775.5;17215;3.524;24.7;
780;17326;3.560;24.9;
786;17473;3.576;24.9;
790;17572;3.559;24.9;
798;17768;3.530;24.8;
800;17817;3.268;23.9;
805;17940;3.411;24.4;
810;18063;3.590;25.0;
815.5;18198;3.447;24.5;
820;18309;3.445;24.5;
825;18432;3.292;24.0;
830;18555;3.593;25.0;
835;18678;3.406;24.4;
840;18800;3.553;24.8;
845;18923;3.416;24.4;
850;19046;3.523;24.7;
855;19169;3.411;24.4;
860;19292;3.315;24.1;
865;19415;3.258;23.9;
870;19538;3.624;25.1;
875;19661;3.268;23.9;
880;19783;3.332;24.1;
885;19906;3.101;23.3;
890;20029;3.146;23.5;
895;20152;3.223;23.8;
900;20275;3.387;24.3;
905;20437;3.152;23.5;
910;20692;3.377;24.3;
915;20946;3.106;23.3;
920;21201;3.424;24.4;
925;21455;3.230;23.8;
930;21710;3.158;23.5;
935;21964;3.370;24.3;
940;22219;3.086;23.3;
945;22473;3.166;23.6;
950;22728;3.277;23.9;
955;22982;3.112;23.4;
960;23237;3.114;23.4;
965;23491;3.315;24.1;
970;23746;3.143;23.5;
985.5;24535;3.369;24.2;
990;24764;3.669;25.2;
