Number;Geo.cluster;Archive.type
1;Greenland;Ice core
2;Greenland;Ice core
3;Alaska/Canada;Lake sediment
4;Alaska/Canada;Terrestrial
5;Alaska/Canada;Terrestrial
6;Alaska/Canada;Terrestrial
7;Alaska/Canada;Terrestrial
8;Northeast Atlantic;Marine sediment
9;Northeast Atlantic;Marine sediment
10;California margin;Marine sediment
11;North Atlantic;Marine sediment
12;Japan margin;Marine sediment
13;Mediterranean;Marine sediment
14;Iberian margin;Marine sediment
15;Iberian margin;Marine sediment
16;North Atlantic;Marine sediment
17;Iberian margin;Marine sediment
18;Mediterranean;Marine sediment
19;Japan margin;Marine sediment
20;China;Terrestrial
21;North Atlantic;Marine sediment
22;Japan margin;Marine sediment
23;West Atlantic;Marine sediment
24;Nile Delta;Marine sediment
25;South China Sea ;Marine sediment
26;East China Sea;Marine sediment
27;Gulf of Mexico;Marine sediment
28;Red Sea;Marine sediment
29;Gulf of Mexico;Marine sediment
30;Northwest African margin;Marine sediment
31;Northwest African margin;Marine sediment
32;South China Sea ;Marine sediment
33;South China Sea ;Marine sediment
34;Arabian Sea;Marine sediment
35;Arabian Sea;Marine sediment
36;Western tropical Atlantic;Marine sediment
37;Caribbean Sea;Marine sediment
38;Arabian Sea;Marine sediment
39;Arabian Sea;Marine sediment
40;Caribbean Sea;Marine sediment
41;Sulu Sea;Marine sediment
42;Eastern equatorial Pacific;Marine sediment
43;Eastern equatorial Pacific;Marine sediment
44;South China Sea ;Marine sediment
45;South China Sea ;Marine sediment
46;West Pacific warm pool;Marine sediment
47;Eastern Atlantic;Marine sediment
48;Eastern Atlantic;Marine sediment
49;Eastern equatorial Pacific;Marine sediment
50;Eastern equatorial Pacific;Marine sediment
51;Eastern equatorial Pacific;Marine sediment
52;Eastern equatorial Pacific;Marine sediment
53;Eastern equatorial Pacific;Marine sediment
54;Brazilian margin ;Marine sediment
55;Brazilian margin ;Marine sediment
56;West Pacific warm pool;Marine sediment
57;West Pacific warm pool;Marine sediment
58;Eastern Atlantic;Marine sediment
59;Eastern Atlantic;Marine sediment
60;Lake Tanganyika;Lake sediment
61;West Pacific warm pool;Marine sediment
62;West Pacific warm pool;Marine sediment
63;West Pacific warm pool;Marine sediment
64;Southeast Atlantic ;Marine sediment
65;Indian Ocean;Marine sediment
66;Southeast Atlantic ;Marine sediment
67;Brazilian margin ;Marine sediment
68;Chilean margin;Marine sediment
69;South Australia;Marine sediment
70;New Zealand ;Marine sediment
71;Chilean margin;Marine sediment
72;Southeast Atlantic ;Marine sediment
73;Southeast Atlantic ;Marine sediment
74;New Zealand ;Marine sediment
75;New Zealand ;Marine sediment
76;Southern Ocean;Marine sediment
77;Antarctica;Ice core
78;Antarctica;Ice core
79;Antarctica;Ice core
80;Antarctica;Ice core
